timestamp,seed_value,dataset,algorithm,time_steps,delay_threshold,prov_time_threshold,current_step,elapsed_time,overall_edge_server_overloaded,sum_overall_power_consumption,avg_overall_power_consumption,latency_sla_violations,number_of_migrations,provisioning_time_sla_violations,energy_consumption_kwh,norm_energy_consumption_kwh,norm_latency_sla_violations,norm_provisioning_time_sla_violations,norm_cost
1717946770,1,datasets/dataset1.json,temp_et_al,3600,0.5,0.5,3601,72.87012887001038,0,51411976.66875,14277.13875833102,42145.0,387,85.0,14.281104630208334,0.2716040711774171,0.3494256747268795,0.8181818181818182,1.439211564086115
1717946786,1,datasets/dataset1.json,temp_et_al,3600,0.5,0.6,3601,84.66439414024353,0,50712974.60625,14083.025439114135,41222.0,394,88.0,14.086937390625001,0.20662012788440953,0.3235038054315163,0.8727272727272727,1.4028512060431986
1717946797,1,datasets/dataset1.json,temp_et_al,3600,0.5,0.7,3601,88.66535496711731,0,55645155.05,15452.695098583728,53464.0,323,92.0,15.456987513888889,0.6651488668715438,0.6673126070716432,0.9454545454545454,2.2779160193977326
1717946821,1,datasets/dataset1.json,temp_et_al,3600,0.6,1.0,3601,96.02556157112122,0,51804328.74375,14386.095180158289,45611.0,311,95.0,14.390091317708332,0.3080797646846783,0.4467660853203022,1.0,1.7548458500049806
1717946824,1,datasets/dataset1.json,temp_et_al,3600,0.6,0.9,3601,97.54248309135436,0,53069581.15625,14737.456583240766,44918.0,298,87.0,14.741550321180556,0.42570615727524586,0.4273036200747044,0.8545454545454545,1.7075552318954048
1717946832,1,datasets/dataset1.json,temp_et_al,3600,0.6,0.5,3601,106.99513506889345,0,59246992.99375,16452.927796098305,65310.0,214,91.0,16.457498053819442,1.0,1.0,0.9272727272727272,2.9272727272727272
1717946833,1,datasets/dataset1.json,temp_et_al,3600,0.5,0.8,3601,112.84237146377563,0,57259209.71875,15900.91911101083,53769.0,268,86.0,15.905336032986112,0.8152022682745825,0.675878338528941,0.8363636363636363,2.32744424316716
1717946841,1,datasets/dataset1.json,temp_et_al,3600,0.6,0.6,3601,116.7695620059967,0,58314646.875,16194.014683421272,59120.0,220,90.0,16.19851302083333,0.9133228204025425,0.8261577779650069,0.9090909090909091,2.6485715074584584
1717946850,1,datasets/dataset1.json,temp_et_al,3600,0.6,0.7,3601,121.06983542442322,0,54674095.56875,15183.031260413774,45099.0,273,78.0,15.187248769097222,0.574872632152011,0.4323868902182155,0.6909090909090909,1.6981686132793175
1717946856,1,datasets/dataset1.json,temp_et_al,3600,0.5,0.9,3601,130.39076733589172,0,58698210.95,16300.530672035546,49827.0,314,86.0,16.305058597222224,0.9489815221950509,0.5651697699890471,0.8363636363636363,2.3505149285477343
1717946858,1,datasets/dataset1.json,temp_et_al,3600,0.5,1.0,3601,130.79857921600342,0,58824942.925,16335.724222438212,50919.0,289,88.0,16.34026192361111,0.9607633808169773,0.5958378970427163,0.8727272727272727,2.429328550586966
1717946871,1,datasets/dataset1.json,temp_et_al,3600,0.6,0.8,3601,141.10876488685608,0,54966478.425,15264.226166342683,45132.0,281,76.0,15.268466229166666,0.6020545132503914,0.4333136742775297,0.6545454545454545,1.6899136420733756
1717946875,1,datasets/dataset1.json,temp_et_al,3600,0.7,0.5,3601,58.00223159790039,0,53456675.19375,14844.952844695918,50573.0,247,87.0,14.849076442708334,0.4616930281751604,0.5861207066026343,0.8545454545454545,1.9023591893232492
1717946879,1,datasets/dataset1.json,temp_et_al,3600,0.7,0.6,3601,51.29655361175537,0,53904127.35,14969.210594279366,55214.0,223,90.0,14.973368708333334,0.5032911966327591,0.7164602465807285,0.9090909090909091,2.128842352304397
1717946951,1,datasets/dataset1.json,temp_et_al,3600,0.7,1.0,3601,68.97402048110962,0,55048731.84375,15287.06799326576,52048.0,241,82.0,15.291314401041667,0.6097013454794541,0.6275451456174348,0.7636363636363637,2.0008828547332524
1717946955,1,datasets/dataset1.json,temp_et_al,3600,0.7,0.8,3601,82.86951565742493,0,56594640.9125,15716.367929047488,53280.0,242,82.0,15.720733586805556,0.7534194725769636,0.6621450838318308,0.7636363636363637,2.179200920045158
1717946973,1,datasets/dataset1.json,temp_et_al,3600,0.7,0.9,3601,90.39902687072754,0,58707633.63125,16303.147356637046,59543.0,211,78.0,16.307676008680556,0.9498575181568191,0.8380374645434886,0.6909090909090909,2.478804073609399
1717946976,1,datasets/dataset1.json,temp_et_al,3600,0.7,0.7,3601,116.23201656341551,0,58013435.475,16110.368085254097,51595.0,249,81.0,16.1148431875,0.8853201783691264,0.6148229280759401,0.7454545454545455,2.245597651899612
1717947000,1,datasets/dataset1.json,temp_et_al,3600,0.8,0.6,3601,92.87023901939392,0,55390772.6875,15382.052954040544,45582.0,204,76.0,15.386325746527778,0.6414997678112083,0.4459516387227231,0.6545454545454545,1.741996861079386
1717947001,1,datasets/dataset1.json,temp_et_al,3600,0.8,0.5,3601,107.6180384159088,0,55390772.6875,15382.052954040544,45582.0,204,76.0,15.386325746527778,0.6414997678112083,0.4459516387227231,0.6545454545454545,1.741996861079386
1717947007,1,datasets/dataset1.json,temp_et_al,3600,0.9,0.5,3601,75.01710247993469,0,51439724.59375,14284.844374826436,50574.0,155,71.0,14.288812387152777,0.2741837053179076,0.586148790968068,0.5636363636363636,1.4239688599223392
1717947007,1,datasets/dataset1.json,temp_et_al,3600,0.9,0.6,3601,65.8057656288147,0,51202321.3,14218.917328519856,48225.0,180,76.0,14.222867027777777,0.25211309493451795,0.5201786165641588,0.6545454545454545,1.4268371660441312
