timestamp,seed_value,dataset,algorithm,time_steps,delay_threshold,prov_time_threshold,current_step,elapsed_time,overall_edge_server_overloaded,sum_overall_power_consumption,avg_overall_power_consumption,latency_sla_violations,number_of_migrations,provisioning_time_sla_violations,energy_consumption_kwh,norm_energy_consumption_kwh,norm_latency_sla_violations,norm_provisioning_time_sla_violations,norm_cost
1717945301,1,datasets/dataset1.json,maper,3600,0.5,0.8,3601,105.66297435760498,0,50123780.85,13919.4059566787,36676.0,818,83.0,13.923272458333333,0.5961577754361367,0.4916447135611214,0.7,1.7878024889972581
1717945309,1,datasets/dataset1.json,maper,3600,0.5,0.6,3601,114.2637710571289,0,49547857.3,13759.471618994725,34356.0,900,81.0,13.763293694444444,0.5460296352046516,0.40042464514607007,0.66,1.6064542803507216
1717945312,1,datasets/dataset1.json,maper,3600,0.6,1.0,3601,97.5102117061615,0,51934543.0375,14422.255772702028,49605.0,324,98.0,14.426261954861111,0.7537657441689152,1.0,1.0,2.7537657441689154
1717945324,1,datasets/dataset1.json,maper,3600,0.5,0.7,3601,123.0396213531494,0,49325250.48125,13697.65356324632,31808.0,912,80.0,13.70145846701389,0.5266540326150637,0.30023984586953956,0.64,1.4668938784846033
1717945329,1,datasets/dataset1.json,maper,3600,0.5,0.5,3601,130.54967045783997,0,51310967.51875,14249.088452860316,35826.0,480,79.0,14.25304653298611,0.6994899968951297,0.4582235678056069,0.62,1.7777135647007367
1717945335,1,datasets/dataset1.json,maper,3600,0.6,0.5,3601,121.60369086265564,0,54763535.01875,15207.868652804777,39052.0,276,76.0,15.212093060763888,1.0,0.585066645696536,0.56,2.145066645696536
1717945339,1,datasets/dataset1.json,maper,3600,0.5,0.9,3601,134.86576199531555,0,50122696.00625,13919.104694876423,31757.0,611,80.0,13.922971112847222,0.596063351098689,0.2982345771242087,0.64,1.5342979282228977
1717945351,1,datasets/dataset1.json,maper,3600,0.5,1.0,3601,148.71686244010925,0,47868277.4125,13293.051211469035,36187.0,758,82.0,13.296743725694444,0.399839717930767,0.47241772500294893,0.68,1.552257442933716
1717945364,1,datasets/dataset1.json,maper,3600,0.6,0.7,3601,145.53735303878784,0,54038331.6375,15006.479210635936,35497.0,325,79.0,15.010647677083334,0.9368786069059916,0.4452876184484725,0.62,2.002166225354464
1717945367,1,datasets/dataset1.json,maper,3600,0.6,0.9,3601,150.32027173042297,0,50506406.28125,14025.661283324076,40137.0,324,80.0,14.029557300347221,0.62946132982948,0.627727755278575,0.64,1.8971890851080553
1717945368,1,datasets/dataset1.json,maper,3600,0.6,0.6,3601,149.41020488739014,0,53592631.275,14882.707935295752,36566.0,315,78.0,14.886842020833333,0.8980850373903434,0.48731962411040775,0.6,1.985404661500751
1717945369,1,datasets/dataset1.json,maper,3600,0.6,0.8,3601,152.3905794620514,0,52120901.15625,14474.00754130797,32101.0,357,78.0,14.478028098958333,0.7699862753661126,0.31176031140644045,0.6,1.6817465867725532
1717945444,1,datasets/dataset1.json,maper,3600,0.7,0.7,3601,86.19493627548218,0,48340763.0,13424.26076089975,40535.0,330,85.0,13.427989722222222,0.4409646620098128,0.6433767152911571,0.74,1.82434137730097
1717945458,1,datasets/dataset1.json,maper,3600,0.7,0.8,3601,89.48161602020264,0,48934783.1,13589.2205220772,37248.0,318,86.0,13.592995305555556,0.49266791823734685,0.5141351787048323,0.76,1.766803096942179
1717945467,1,datasets/dataset1.json,maper,3600,0.7,0.6,3601,103.70175671577454,0,53492074.7,14854.783310191611,45156.0,288,85.0,14.858909638888889,0.8893326359773472,0.8250697912161365,0.74,2.454402427193484
1717945471,1,datasets/dataset1.json,maper,3600,0.7,0.9,3601,89.94996547698975,0,48980279.43125,13601.854882324356,35164.0,338,84.0,13.605633175347222,0.49662789951076064,0.4321943931113121,0.72,1.6488222926220728
1717945487,1,datasets/dataset1.json,maper,3600,0.7,0.5,3601,130.39013671875,0,53972458.325,14988.186149680643,48877.0,277,74.0,14.992349534722223,0.9311450218728523,0.971375771635277,0.52,2.4225207935081294
1717945491,1,datasets/dataset1.json,maper,3600,0.7,1.0,3601,102.66985011100768,0,48980279.43125,13601.854882324356,35164.0,338,84.0,13.605633175347222,0.49662789951076064,0.4321943931113121,0.72,1.6488222926220728
1717945515,1,datasets/dataset1.json,maper,3600,0.8,0.9,3601,89.27239561080933,0,48472632.61875,13460.881038253265,40691.0,246,65.0,13.464620171875,0.45244253739964974,0.6495104785121693,0.34,1.441953015911819
